variety,rows
Merlot-Cabernet Sauvignon,33
Merlot-Grenache,1
Merlot-Malbec,6
Merlot-Petite Verdot,1
Merlot-Shiraz,1
Merlot-Syrah,2
Merlot-Tannat,3
Merseguera-Sauvignon Blanc,1
Meseguera,1
Misket,1
Mission,6
Molinara,1
Monastrell,130
Monastrell-Petit Verdot,2
Monastrell-Syrah,19
Mondeuse,15
Monica,3
Montepulciano,199
Morava,1
Morillon,6
Morio Muskat,2
Moscadello,6
Moscatel,54
Moscatel de Alejandría,3
Moscatel Graúdo,2
Moscatel Roxo,6
Moscato di Noto,1
Moscato Giallo,16
Moscato Rosa,2
Moschofilero,31
Moschofilero-Chardonnay,1
Mourvèdre-Syrah,3
Mtsvane,4
Muscadel,1
Muscadelle,7
Muscadine,2
Muscat,120
Muscat Blanc,12
Muscat Blanc à Petits Grains,3
Muscat Canelli,34
Muscat d'Alexandrie,3
Muscat Hamburg,4
Muscat of Alexandria,3
Muscatel,2
Muskat,3
Muskat Ottonel,21
Muskateller,5
Müller-Thurgau,41
Narince,6
Nascetta,6
Nasco,2
Negrette,16
Negroamaro,75
Nerello Cappuccio,5
Nerello Mascalese,107
Nero di Troia,16
Neuburger,8
Nielluciu,3
Norton,15
Nosiola,7
Nuragus,3
Okuzgozu,8
Ondenc,1
Orange Muscat,18
Orangetraube,1
Other,1
Pallagrello,9
Pallagrello Bianco,5
Pallagrello Nero,4
Palomino,14
Pansa Blanca,13
Papaskarasi,2
Paralleda,1
Parraleta,1
Passerina,21
País,1
Pecorino,46
Pedro Ximénez,33
Perricone,9
Petit Courbu,1
Petit Manseng,54
Petit Meslier,1
Petit Verdot,254
Petite Verdot,27
Picapoll,1
Picolit,26
Picpoul,16
Piedirosso,19
Pigato,1
Pignoletto,4
Pignolo,1
Pinot Auxerrois,12
Pinot Bianco,143
Pinot Blanc-Chardonnay,4
Pinot Blanc-Pinot Noir,1
Pinot Blanc-Viognier,1
Pinot Grigio-Sauvignon Blanc,1
Pinot Gris-Gewürztraminer,1
Pinot Meunier,39
Pinot Nero,159
Pinot Noir-Gamay,17
Pinot Noir-Syrah,3
Pinot-Chardonnay,5
Pinotage-Merlot,1
Piquepoul Blanc,1
Plavac Mali,16
Plyto,2
Portuguiser,1
Posip,7
Poulsard,3
Premsal,1
Prieto Picudo,14
Primitivo,210
Prié Blanc,6
Prugnolo Gentile,42
Prunelard,1
Pugnitello,3
Rabigato,2
Raboso,13
Ramisco,1
Rara Neagra,2
Rebo,2
Rebula,3
Refosco,10
Ribolla Gialla,73
Rieslaner,5
Riesling-Chardonnay,1
Rivaner,3
Rkatsiteli,30
Robola,4
Roditis,4
Roditis-Moschofilero,1
Rolle,4
Romorantin,3
Rosado,72
Rosato,94
Roscetto,1
Rosenmuskateller,2
Roter Traminer,5
Roter Veltliner,11
Rotgipfler,21
Roussanne-Grenache Blanc,1
Roussanne-Marsanne,5
Roussanne-Viognier,11
Roviello,2
Ruché,10
Rufete,2
Ryzlink Rýnský,1
Sacy,2
Sagrantino,98
Sangiovese Cabernet,3
Sangiovese Grosso,696
Sangiovese-Cabernet Sauvignon,6
Sangiovese-Syrah,4
Saperavi,32
Saperavi-Merlot,2
Sauvignon,282
Sauvignon Blanc-Assyrtiko,1
Sauvignon Blanc-Chardonnay,8
Sauvignon Blanc-Chenin Blanc,4
Sauvignon Blanc-Sauvignon Gris,1
Sauvignon Blanc-Semillon,65
Sauvignon Blanc-Verdejo,4
Sauvignon Gris,14
Sauvignon Musqué,1
Sauvignon-Sémillon,1
Sauvignonasse,1
Savagnin,21
Savatiano,4
Scheurebe,25
Schiava,21
Schwartzriesling,1
Sciaccerellu,4
Semillon-Chardonnay,5
Semillon-Sauvignon Blanc,53
Sercial,1
Seyval Blanc,15
Shiraz-Cabernet,2
Shiraz-Cabernet Sauvignon,37
Shiraz-Grenache,14
Shiraz-Malbec,3
Shiraz-Mourvèdre,3
Shiraz-Roussanne,1
Shiraz-Tempranillo,2
Shiraz-Viognier,38
Sideritis,1
Siegerrebe,1
Silvaner,35
Silvaner-Traminer,1
Siria,11
Sirica,2
Sousão,6
Souzao,2
Spätburgunder,66
St. Laurent,79
St. Vincent,1
Susumaniello,6
Sylvaner,47
Symphony,4
Syrah-Bonarda,1
Syrah-Cabernet,15
Syrah-Cabernet Franc,3
Syrah-Cabernet Sauvignon,32
Syrah-Carignan,4
Syrah-Grenache,53
Syrah-Grenache-Viognier,1
Syrah-Malbec,1
Syrah-Merlot,6
Syrah-Mourvèdre,17
Syrah-Petit Verdot,2
Syrah-Petite Sirah,15
Syrah-Tempranillo,7
Syrah-Viognier,15
Sämling,5
Tamianka,1
Tamjanika,1
Tannat,161
Tannat-Cabernet,28
Tannat-Cabernet Franc,14
Tannat-Merlot,11
Tannat-Syrah,5
Tempranillo Blanco,9
Tempranillo Blend,552
Tempranillo-Cabernet Sauvignon,48
Tempranillo-Garnacha,30
Tempranillo-Malbec,1
Tempranillo-Merlot,7
Tempranillo-Shiraz,7
Tempranillo-Syrah,2
Tempranillo-Tannat,1
Teran,7
Teroldego,28
Teroldego Rotaliano,1
Terrantez,1
Thrapsathiri,1
Timorasso,4
Tinta Amarela,1
Tinta Barroca,5
Tinta Cao,1
Tinta de Toro,158
Tinta del Pais,2
Tinta del Toro,3
Tinta Fina,10
Tinta Francisca,3
Tinta Madeira,1
Tinta Miúda,2
Tinta Negra Mole,1
Tinta Roriz,11
Tintilia ,1
Tinto del Pais,16
Tinto Fino,92
Tinto Velasco,1
Tocai,10
Tocai Friulano,21
Tokaji,24
Tokay,5
Tokay Pinot Gris,1
Torbato,1
Torontel,1
Touriga,2
Touriga Franca,6
Touriga Nacional Blend,18
Touriga Nacional-Cabernet Sauvignon,27
Trajadura,1
Traminer,37
Traminette,9
Trebbiano,49
Trebbiano di Lugana,3
Trebbiano Spoletino,7
Treixadura,2
Trepat,9
Trincadeira,23
Trollinger,2
Trousseau,6
Trousseau Gris,2
Turbiana,134
Tămâioasă Românească,2
Ugni Blanc,3
Ugni Blanc-Colombard,9
Uva di Troia,11
Uvalino,1
Valdiguié,5
Valvin Muscat,1
Veltliner,4
Verdeca,5
Verdejo,266
Verdejo-Sauvignon Blanc,5
Verdejo-Viura,19
Verdelho,59
Verdicchio,148
Verdil,1
Verdosilla,1
Verduzzo,5
Verduzzo Friulano ,3
Vermentino Nero,1
Vernaccia,124
Vespaiolo,1
Vespolina,2
Vidadillo,1
Vidal,10
Vidal Blanc,51
Vignoles,10
Vilana,4
Vinhão,4
Viognier-Chardonnay,12
Viognier-Gewürztraminer,1
Viognier-Grenache Blanc,3
Viognier-Marsanne,3
Viognier-Roussanne,7
Viognier-Valdiguié,1
Viosinho,4
Vital,1
Vitovska,3
Viura,102
Viura-Chardonnay,13
Viura-Verdejo,2
Vranec,4
Weissburgunder,44
Welschriesling,24
Xarel-lo,19
Xinisteri,1
Xinomavro,30
Xynisteri,2
Yapincak,2
Zelen,1
Zibibbo,28
Zierfandler,14
Zierfandler-Rotgipfler,5
Zlahtina,2
Zweigelt,182
Çalkarası,2
Žilavka,1
